,bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
2045,5295,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6724760101592, 9.16041213728062",Technische Betriebe,Gelöst,24.08.2021,"Reichenaustraße 45, 78467 Konstanz, Germany                    ",Glasscherben auf dem Rad/Fußweg,
2046,5296,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6680866349673, 9.19878195391163",Stadtverwaltung,Gelöst,24.08.2021,"Brucknerstraße 3, 78464 Konstanz, Germany                    ",Fahrrad ist seit längerer Zeit abgestellt und wurde seitdem nicht bewegt  - Zustand des Fahrrades sehr vernachlässigt.,
2047,5297,Beleuchtung > Straßenlaternen defekt,"47.6694684376775, 9.18376062065363",Stadtwerke Konstanz,Gelöst,24.08.2021,"Mainaustraße 21, 78464 Konstanz, Germany                    ",Hinter Haus mit der Adresse mainaustr 21 am Weg welcher die buchnerstr mit Alter Wall verbindet ist die Straßenbeleuchtung defekt.,
2048,5298,Beleuchtung > Straßenlaternen defekt,"47.6801835, 9.1983027",Stadtwerke Konstanz,Gelöst,24.08.2021,"Bettengasse 18, 78464 Konstanz, Germany                    ","Die Strassenlaterne am Haus Bettengasse 18a funktioniert einen Tag, am nächsten nicht, dann funktioniert sie wieder.....u.s.w.
(Adresssuche nach: Bettengasse 18a)",
2049,5299,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.7141577, 9.1730424",Stadtverwaltung,Gelöst,25.08.2021,"Martin-Schleyer-Straße 22, 78465 Konstanz, Germany                    ","Die Fußgängerampel vor dem betreuten Wohnen in Litzelstetten ist defekt.
(Adresssuche nach: Martin-Schleyer-Str. 22)",
2050,5300,Müll/Sauberkeit > Illegaler Müll,"47.7118126556153, 9.13653491815227",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,25.08.2021,"L220, 78467 Konstanz, Germany                    ","An der unteren Schleife des Radweges entlang der L220 steht seit einigen Tagen ein ca. 500l Flüssigkeitsbehälter aus Kunststoff mit Metallarmierung. Seit heute ist er umgeworfen. Bitte prüfen, ob gefährlich.",
2051,5301,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6798098684995, 9.14695395347099",Technische Betriebe,Gelöst,25.08.2021,"Macairestraße 14, 78467 Konstanz, Germany                    ",Glasscherben auf dem Radweg hinter der Bushaltestelle,
2053,5303,Müll/Sauberkeit > Illegaler Müll,"47.7438133052942, 9.12762261922957",OV Dettingen-Wallhausen,Gelöst,27.08.2021,"Wittmoosstraße 14, 78465 Konstanz, Germany                    ",Küchengerät illegal entsorgt,
2054,5304,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6746495978957, 9.14657063730148",Technische Betriebe,Gelöst,27.08.2021,"Fritz-Arnold-Straße 12, 78467 Konstanz, Deutschland                    ","Gullies sind alle dicht 
(Adresssuche nach: Rudolf Diesel Straße 10 )",
2055,5305,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6738236828112, 9.18376906923321",Technische Betriebe,Gelöst,28.08.2021,"Zähringerpl. 32B, 78464 Konstanz, Germany                    ","Fahrrad-Wegweiser falsch montiert oder verdreht > Beschriftung ""Fürstenberg"" zeigt Richtung Altstadt",
2057,5307,Beleuchtung > Straßenlaternen defekt,"47.6653539, 9.1765911",Stadtwerke Konstanz,Gelöst,30.08.2021,"Niederburggasse 2, 78462 Konstanz, Germany                    ","Die Straßenlampe Nr. 5 gegenüber dem Amtsgericht ist defekt.
(Adresssuche nach: Rheingasse)",
2059,5309,Müll/Sauberkeit > Illegaler Müll,"47.6741330106975, 9.20658655464649",Technische Betriebe,Gelöst,30.08.2021,"Jakobstraße 62A, 78464 Konstanz, Germany                    ","Eine von ""Witzbolden"" entführte und im hohen Gras Fohrenbühlweg Ecke Jakobstraße entsorgte Warnbarke möchte gerne zurück zu ihrem Rudel. Wo das ist, weiß ich nicht, in der Jakobstraße 35 gibt es zumindest ne Baustelle.",
2060,5310,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6802613064465, 9.14830556594462",Technische Betriebe,Gelöst,30.08.2021,"Max-Stromeyer-Straße 178, 78467 Konstanz, Germany                    ",Glasscherben auf dem Radweg vor dem Südkuriergebäude,
2061,5311,Müll/Sauberkeit > Illegaler Müll,"47.6674196957008, 9.16695892810822",Technische Betriebe,Gelöst,31.08.2021,"Rheingutstraße 34, 78462 Konstanz, Germany                    ",Matratze mit Rost als Müll an der Rheingutstrasse am Gehweg vor dem Albertus Magnus Studentenwohnheim abgelagert,
2062,5312,Müll/Sauberkeit > Illegaler Müll,"47.6576232910156, 9.16898707527826",Technische Betriebe,Gelöst,31.08.2021,"Unnamed Road, 78462 Konstanz, Germany                    ",Schonzeit Wochen!!!! auch dieKleidercontainerhieram DLBELE,
2063,5313,Beleuchtung > Straßenlaternen defekt,"47.6822903, 9.204116",Stadtwerke Konstanz,Gelöst,31.08.2021,"Nestgasse 5, 78464 Konstanz, Germany                    ","Straßenlaterne an Kreuzung zur Abfahrt Nestgasse 5 und Durchfahrt defekt. Stockdunkel. Laterne wurde wegen einem Unfall mal ausgetauscht.
(Adresssuche nach: nestgasse 5)",
2064,5314,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6821311082201, 9.20128261629254",Stadtverwaltung,Gelöst,31.08.2021,"Mainaustraße 147, 78464 Konstanz, Germany                    ",Zwischen Grundschule Allmannsdorf und Fußballplatz liegt ein schrottreifes Fahrrad.,
2065,5315,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6886223342311, 9.16477766915662",Technische Betriebe,Gelöst,31.08.2021,"Geschw.-Scholl-Schule - Konstanz, 78467 Konstanz, Germany                    ",Vom Parkplatz Geschwister-Scholl-Schule (an der Schule vorbei) ca 300m den Fahrweg (für KFZ verboten) geradeaus in den Wald. Mit dem Fahrrad kein durchkommen.,
2066,5316,Müll/Sauberkeit > Illegaler Müll,"47.6589402, 9.1736332",Technische Betriebe,Gelöst,01.09.2021,"Neugasse 12, 78462 Konstanz, Germany                    ","Seit ein paar Tagen wird hier nachts immer wieder Sperrmüll neben einen Stadtmülleimer gestellt. 
Herzlichen Dank. 
(Adresssuche nach: Neugasse 12, Konstanz)",
2067,5317,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6589402, 9.1736332",Stadtverwaltung,Gelöst,01.09.2021,"Neugasse 12, 78462 Konstanz, Germany                    ","Hier stehen schon sehr lange ausgedienter, unabgeschlossener Fahrräder. 
Herzlichen Dank. 
(Adresssuche nach: Neugasse 12, Konstanz)",
2069,5319,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.690821166581, 9.15683058665537",Stadtverwaltung,Gelöst,02.09.2021,"Urisbergweg 50, 78467 Konstanz, Germany                    ","Fahrrad steht seit ca. 1 Woche am Waldrand neben den dortigen beiden Bänken.
Das Fahrrad selbst ist anscheinend mit einem Fahrradschloss gesichert.",
2070,5320,Müll/Sauberkeit > Illegaler Müll,"47.7362567495145, 9.13874051355765",OV Dingelsdorf,Gelöst,03.09.2021,"Dingelsdorfer Str., 78465 Konstanz, Germany                    ",Grauer Müllsack liegt im Busch.,
2071,5321,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6588969330983, 9.17498979717493",Technische Betriebe,Gelöst,03.09.2021,"Bahnhofstraße 16, 78462 Konstanz, Germany                    ",Kippen im Pflaster und in den Zwischenräumen der Bänke an der Kirche,
2072,5322,Beleuchtung > Straßenlaternen defekt,"47.7158217854326, 9.17884607118523",Stadtwerke Konstanz,Gelöst,03.09.2021,"Im Tiergarten 28, 78465 Konstanz, Germany                    ","Straßenlaterne ist defekt, tiefe Nacht Lichtmodus aus. Dadurch ist der Weg und die Treppe finster.",
2073,5323,Beleuchtung > Straßenlaternen defekt,"47.6805675903241, 9.20100554823875",Stadtwerke Konstanz,Gelöst,03.09.2021,"Peter-Rosegger-Weg 1, 78464 Konstanz, Germany                    ",Leuchtmittel defekt,
2074,5324,Müll/Sauberkeit > Illegaler Müll,"47.6782197566835, 9.19488476645784",Technische Betriebe,Gelöst,04.09.2021,"Sonnenbühlstraße 83, 78464 Konstanz, Germany                    ",Illegal abgeladene Couch/Sitz im Gebüsch am Zaun zum Sportplatz des SC Konstanz-Wollmatingen.,
2075,5325,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.6708879, 9.1776052",Stadtverwaltung,Gelöst,04.09.2021,"Petershauser Str. 28, 78467 Konstanz, Germany                    ","Die "" bei Bedarf Ampel"" geht bereits seit über einer Woche nicht mehr. 
(Adresssuche nach: Petershauser Str. )",
2076,5326,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6565265857735, 9.17777957327058",Gäng,Gelöst,05.09.2021,"Hafenstraße 12B, 78462 Konstanz, Germany                    ","Am Parkplatz Klein Venedig stehen noch drei Schilder, die den ""Zollparkplatz"" betreffen. Seit jahren gibt es dort keinen Zoll mehr - haben die Schilder noch einen Sinn?",
2077,5327,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6751143669756, 9.1849448159337",Melanie Hemberger,Gelöst,05.09.2021,"Hansegartenstraße 14, 78464 Konstanz, Germany                    ","Hansegartenstraße! Gehweg bei Christengemeinde. Gefahrenbereich durch stark reinragendes und überhängendes Gebüsch. Bei Ausweichen Sturz meiner Frau!!! Nicht nur beten und den HERRN lobpreisen, sondern auf Erden auch Hand anlegen. Der HERR schneidet keine Sträucher zurück!",
2080,5330,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6771964427216, 9.2096446081996",Technische Betriebe,Gelöst,05.09.2021,"Fohrenbühlweg 7, 78464 Konstanz, Germany                    ","Eingang zum Spielplatz ist fast zugewachsen. Der Busch müsste gestutzt werden, damit man wieder gut durch kommt",
2083,5333,Müll/Sauberkeit > Illegaler Müll,"47.6711727506455, 9.21372927829782",Technische Betriebe,Gelöst,06.09.2021,"Seehalde 11, 78464 Konstanz, Deutschland                    ","Wie vor einigen Wochen gemeldet liegt am Seeuferweg beim Grillplatz Wasserwerk viel Müll im Wald und inzwischen auch auf dem Weg.
Viel Müll um den Grillplatz",
2084,5334,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6783447265625, 9.18515377678828",Technische Betriebe,Gelöst,06.09.2021,"Friedrichstraße 47, 78464 Konstanz, Germany                    ",wassereinlauf verstopft,
2085,5335,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6730773668533, 9.1586075971351",Technische Betriebe,Gelöst,06.09.2021,"Reichenaustraße 196, 78467 Konstanz, Germany                    ",Glasscherben auf dem Radweg höhe Arbeitsagentur,
2086,5336,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6644595520851, 9.17545602752368",Stadtverwaltung,Gelöst,06.09.2021,"Sankt-Johann-Gasse 4A, 78462 Konstanz, Germany                    ",Ca. 10 Fahrrad-Leichen,
2087,5337,Müll/Sauberkeit > Illegaler Müll,"47.7074845146231, 9.13848261901754",Technische Betriebe,Gelöst,06.09.2021,"L220, 78467 Konstanz, Germany                    ","Sessel, Koffer etc.",
2088,5338,Müll/Sauberkeit > Illegaler Müll,"47.7136620240982, 9.13208903025799",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,06.09.2021,"L220, 78467 Konstanz, Germany                    ",Matratze,
2089,5339,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.7438850888014, 9.15220995886672",Stadtverwaltung,Gelöst,07.09.2021,"Zum Klausenhorn 21, 78465 Konstanz, Deutschland                    ","seit vielen Monaten ist ein Teil der Straße immer und denn ganzen Tag über feucht.
Ich meine, es kommt Wasser aus einem ""Deckel"" ( siehe Foto ).
Das der Ddf-Bauhof solches nicht sieht.....
ist er doch wöchentlich mal da.",
2090,5340,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6644591056753, 9.20202042907476",Technische Betriebe,Gelöst,07.09.2021,"Eichhornstraße 68, 78464 Konstanz, Germany                    ","Der Uferweg vor der Stiegeler Villa ist gerade dabei, wieder unterspült zu werden.",
2091,5341,Müll/Sauberkeit > Illegaler Müll,"47.6615491553159, 9.17058024555445",Technische Betriebe,Gelöst,07.09.2021,"Gottlieber Str. 1, 78462 Konstanz, Germany                    ","Müll in der Wiese, wird gefühlt von Tag zu Tag mehr!",
2092,5342,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6825361368465, 9.1773122549057",Technische Betriebe,Gelöst,08.09.2021,"Stockackerweg 79, 78464 Konstanz, Germany                    ","stockackerweg 79 und 83 sind große Löcher in der Straße, ca Faust groß mehrere cm tief",
2093,5343,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6844298185607, 9.1596571557807",Technische Betriebe,Gelöst,08.09.2021,"Wollgrasweg 2, 78467 Konstanz, Germany                    ","Viele Scherben auf der Straße an der Einmündung zum Buhlenweg, nahe Anfang der Baustelle.",
2095,5345,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6611730603104, 9.16785037073737",Technische Betriebe,in Bearbeitung,08.09.2021,"Blarerstraße 16, 78462 Konstanz, Germany                    ","Die Bäume an der Straßenecke Blarer Str. 16, Leiner Str. 18 berühren das Wohngebäude. Sie sollten bitte dringend zurückgeschnitten werden",
2097,5347,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6746942394826, 9.19746771454811",Technische Betriebe,Gelöst,08.09.2021,"Tannenhof, 78464 Konstanz, Germany                    ",Schild steht auf einer stark beschädigen Palette was so nicht zulässig ist . Wurde notdürftig mit einem Holz geflickt. Bei Sturm kann das Schild Richtung strasse kippen . Fahrlässige Konstruktion von Mitarbeitern.,
2098,5348,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.7313947, 9.1191466",OV Dettingen-Wallhausen,Ungelöst Abgeschlossen,09.09.2021,"Waldstraße 6, 78465 Konstanz, Germany                    ","Granitpflastersteine teilweise kein Fugenmörtel mehr vorhanden ausgewaschen durch Starkregen Frostschaden.Pflastersteine locken sich stolpergefahr für Fußgänger. Müsste dringen neu ausgefugt werden.
(Adresssuche nach: Waldstr.6    78465 konstanz)",
2099,5349,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6667434622427, 9.17588129639626",Technische Betriebe,Gelöst,09.09.2021,"Rheinsteig 11, 78462 Konstanz, Germany                    ",Sieht man ja auf dem Bild,
2100,5350,Beleuchtung > Straßenlaternen defekt,"47.6903675536082, 9.13484641089782",Stadtwerke Konstanz,Gelöst,09.09.2021,"Feursteinstraße, 78467 Konstanz, Germany                    ","Bei der Durchfahrt mit dem Fahrrad am 8.9.21 um 22:00 entdeckt:
Die erste Laterne - von der Kindlebildstraße her kommend links - funktioniert nicht. 
(Adresssuche nach: feursteinstraße)",
2101,5351,Beleuchtung > Straßenlaternen defekt,"47.6717349651672, 9.18303944170475",Stadtwerke Konstanz,Gelöst,09.09.2021,"Zähringerpl. 8, 78464 Konstanz, Germany                    ",Laterne zwischen Baum und Radweg defekt,
2102,5352,Beleuchtung > Straßenlaternen defekt,"47.6721011584993, 9.18326374143362",Stadtwerke Konstanz,Gelöst,09.09.2021,"Zähringerpl. 1, 78464 Konstanz, Germany                    ",Lampe defekt,
2105,5355,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6836288388432, 9.1771825030446",Technische Betriebe,Gelöst,10.09.2021,"Am Pfeiferhölzle 6, 78464 Konstanz, Germany                    ",Tiefe Schlaglöcher,
2106,5356,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6824729350393, 9.17962498962879",Technische Betriebe,Gelöst,10.09.2021,"Kuhmoosweg 9, 78464 Konstanz, Germany                    ",üppiges Grün ragt in Fahrbahn,
2109,5359,Beleuchtung > Straßenlaternen defekt,"47.7130126953125, 9.17808301275999",Stadtwerke Konstanz,Gelöst,10.09.2021,"a. See 1, 78465 Konstanz, Germany                    ","Großherzog Friedrich Straße , 
Lampe Nr 14 Brennt nicht",
2111,5361,Müll/Sauberkeit > Illegaler Müll,"47.6659396474707, 9.17755667120218",Technische Betriebe,Gelöst,11.09.2021,"Rheinsteig 4, 78462 Konstanz, Germany                    ",Unter dem Rheintorturm steht ein Einkaufswagen mit verrotendem Müll.,
2113,5363,Öffentliche Orte/Ufer > Freizeitgelände beschädigt / verunreinigt,"47.6799952289277, 9.18048811706212",Hochbauamt,Gelöst,12.09.2021,"Raitebergweg 45, 78464 Konstanz, Germany                    ","Auf dem Bismarckturm ist wieder Graffiti, auf der Rückseite und auf der Seite zur Friedrichstrasse hin.
(Adresssuche nach: bimarckturm konstanz)",
2114,5364,Beleuchtung > Straßenlaternen defekt,"47.7332991998592, 9.11883081597328",Stadtwerke Konstanz,Gelöst,12.09.2021,"Zum Kirchenwald 12, 78465 Konstanz, Germany                    ","Die Laterne steht völlig schief am Straßenrand.
(Adresssuche nach: Zum Kirchenwald 5)",
2115,5365,Öffentliche Orte/Ufer > Freizeitgelände beschädigt / verunreinigt,"47.6772264516756, 9.18714007983536",Technische Betriebe,Gelöst,12.09.2021,"Uhlandstraße 14, 78464 Konstanz, Deutschland                    ","Auf der Grünfläche vor der Sonnenhalde Grundschule stehen zwei Bänke, die untere ist in gelber Farbe mit einem Wort mit 5 Buchstaben besprayt, das jeder kennt und mit einem P beginnt.
(Adresssuche nach: uhlandstr konstanz)",
2116,5366,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6628112792969, 9.17604008405657",Technische Betriebe,Gelöst,12.09.2021,"Hofhalde 11, 78462 Konstanz, Germany                    ",Die Nestschaukel quietscht ganz fürchterlich und könnte ein paar Tropfen Öl gebraucht 😀,
2117,5367,Öffentliche Orte/Ufer > Freizeitgelände beschädigt / verunreinigt,"47.6722344703224, 9.19985926632176",Stadtverwaltung,Gelöst,12.09.2021,"Salesianerweg 10, 78464 Konstanz, Germany                    ","Das Absperrgitter am Kanal Hockgraben ist defekt, die Gefahr besteht dass da Kinder hinein klettern",
2118,5368,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6824733864811, 9.18409187346697",Technische Betriebe,Gelöst,12.09.2021,"Jacob-Burckhardt-Straße 1, 78464 Konstanz, Germany                    ",Vor den Glascontainern und auf dem ganzen Weg verteilt liegen sehr viele Scherben (Stand vom 9.9.). Vielleicht sollte man generell die Standorte dieser Container überdenken und/oder die angrenzenden Radwege in kürzeren Intervallen reinigen.,
2120,5370,Müll/Sauberkeit > Illegaler Müll,"47.6795654296875, 9.15099525825044",Technische Betriebe,Gelöst,13.09.2021,"Max-Stromeyer-Straße 176, 78467 Konstanz, Germany                    ",Altreifem,
2122,5372,Müll/Sauberkeit > Illegaler Müll,"47.6590258777967, 9.17272534221411",Technische Betriebe,Gelöst,13.09.2021,"Bruderturmgasse 2, 78462 Konstanz, Germany                    ","Europalette liegt schon seit mehreren Tagen in der Neugasse Ecke Bruderturmgasse, direkt an dem Fußgängerzonenschild",
2123,5373,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6900308767514, 9.13174252957106",Stadtverwaltung,Gelöst,13.09.2021,"Helene-und-Maria-Schieß-Straße 2, 78467 Konstanz, Germany                    ","seit wochen ein defektes rad, nicht abgeschlossen",
